Entity,Code,"Cardiovascular diseases","High Body-Mass Index","Lack of Protein","High Fasting Plasma Glucose","Protein-Energy Malnutrition","Digestive Diseases"
South-East Asia Region (WHO),0,0.0,34.052715,65.62,101.908134,0.0,0.0
Sub-Saharan Africa (WB),0,0.0,65.118034,129.04,113.10221,0.0,0.0
Sudan,SDN,0.0,99.55908,53.98,152.78127,8.67,0.0
Taiwan,TWN,0.0,45.375004,0.05,89.07852,0.0,0.0
Tanzania,TZA,0.0,50.988533,139.65,80.6102,27.18,0.0
Togo,TGO,0.0,56.143852,54.15,83.3181,10.48,0.0
Tokelau,TKL,0.0,158.91989,14.32,232.67046,0.0,0.0
Tonga,TON,0.0,151.42018,11.21,199.27385,2.34,0.0
Tunisia,TUN,0.0,96.83569,1.25,134.35104,0.28,0.0
Turkey,TUR,0.0,102.55175,5.08,77.26906,0.75,0.0
Tuvalu,TUV,0.0,183.48505,24.25,282.0457,0.0,0.0
Uganda,UGA,0.0,36.132195,108.2,124.72818,22.91,0.0
United Arab Emirates,ARE,0.0,259.64786,0.73,312.23514,0.06,0.0
United States Virgin Islands,VIR,0.0,121.21022,3.18,128.96248,0.0,0.0
Vanuatu,VUT,0.0,152.24606,24.67,208.39812,3.35,0.0
Vietnam,VNM,0.0,18.388775,0.89,103.61272,0.28,0.0
Wales,0,0.0,56.473846,0.02,50.999397,0.0,0.0
Western Pacific Region (WHO),0,0.0,32.30741,9.33,67.72689,0.0,0.0
World,OWID_WRL,0.0,62.554626,50.78,85.28121,6.0708675,0.0
Yemen,YEM,0.0,65.25201,62.42,93.626785,9.82,0.0
Zambia,ZMB,0.0,63.85057,132.9,132.37642,33.47,0.0
Zimbabwe,ZWE,0.0,73.89146,33.47,133.23544,10.43,0.0
World Bank High Income,0,0.0,0.0,0.18,0.0,0.0,0.0
World Bank Low Income,0,0.0,0.0,182.55,0.0,0.0,0.0
World Bank Lower Middle Income,0,0.0,0.0,50.19,0.0,0.0,0.0
World Bank Upper Middle Income,0,0.0,0.0,12.87,0.0,0.0,0.0

